src/app/api/ai/activity-feedback/route.ts(9,29): error TS2307: Cannot find module '@/lib/auth/options' or its corresponding type declarations.
src/app/api/ai/chat/route.ts(8,29): error TS2307: Cannot find module '@/lib/auth/options' or its corresponding type declarations.
src/app/api/ai/settings/route.ts(8,29): error TS2307: Cannot find module '@/lib/auth/options' or its corresponding type declarations.
src/lib/__tests__/apiError.test.ts(97,20): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(97,34): error TS2339: Property 'details' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(106,21): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/apiError.test.ts(113,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(113,30): error TS2339: Property 'error' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(114,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(114,30): error TS2339: Property 'message' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(118,21): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/apiError.test.ts(122,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(122,30): error TS2339: Property 'error' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(123,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(123,30): error TS2339: Property 'message' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(127,21): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/apiError.test.ts(131,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(131,30): error TS2339: Property 'message' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/apiError.test.ts(137,16): error TS18047: 'response.body' is possibly 'null'.
src/lib/__tests__/apiError.test.ts(137,30): error TS2339: Property 'error' does not exist on type 'ReadableStream<Uint8Array<ArrayBuffer>>'.
src/lib/__tests__/config.test.ts(22,25): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/config.test.ts(30,25): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/config.test.ts(39,25): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/config.test.ts(56,25): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
src/lib/__tests__/config.test.ts(64,25): error TS2540: Cannot assign to 'NODE_ENV' because it is a read-only property.
