Generated 64 workouts
Week | Volume (km) | Long Run (km) | LR %
1    | 31.5        | 18.0          | 57%
2    | 33.1        | 19.0          | 57%
3    | 34.7        | 20.0          | 58%
4    | 36.0        | 21.0          | 58%
5    | 37.5        | 21.0          | 56%
6    | 38.8        | 22.0          | 57%
7    | 46.2        | 23.0          | 50%
8    | 48.0        | 24.0          | 50%
9    | 49.8        | 25.0          | 50%
10   | 51.4        | 26.0          | 51%
11   | 53.2        | 27.0          | 51%
12   | 54.8        | 27.0          | 49%
13   | 56.6        | 28.0          | 49%
14   | 58.2        | 29.0          | 50%
15   | 36.9        | 21.0          | 57%
16   | 24.0        | 12.0          | 50%
