Generated 64 workouts
Week | Volume (km) | Long Run (km) | LR %
1    | 30.0        | 13.0          | 43%
2    | 30.0        | 13.0          | 43%
3    | 31.0        | 14.0          | 45%
4    | 31.0        | 14.0          | 45%
5    | 32.0        | 15.0          | 47%
6    | 33.0        | 16.0          | 48%
7    | 40.0        | 16.0          | 40%
8    | 41.0        | 17.0          | 41%
9    | 41.0        | 17.0          | 41%
10   | 42.0        | 18.0          | 43%
11   | 43.0        | 19.0          | 44%
12   | 43.0        | 19.0          | 44%
13   | 44.0        | 20.0          | 45%
14   | 44.0        | 20.0          | 45%
15   | 32.0        | 15.0          | 47%
16   | 23.9        | 8.0           | 33%
