Generated 64 workouts
Week | Volume (km) | Long Run (km) | LR %
1    | 17.3        | 8.3           | 48%
2    | 18.5        | 9.5           | 51%
3    | 20.2        | 11.0          | 54%
4    | 22.8        | 12.6          | 55%
5    | 26.2        | 14.5          | 55%
6    | 30.3        | 16.7          | 55%
7    | 34.7        | 18.0          | 52%
8    | 39.9        | 20.7          | 52%
9    | 45.9        | 23.9          | 52%
10   | 50.0        | 26.0          | 52%
11   | 53.0        | 29.0          | 55%
12   | 53.0        | 29.0          | 55%
13   | 53.0        | 29.0          | 55%
14   | 53.0        | 29.0          | 55%
15   | 33.0        | 16.0          | 48%
16   | 24.0        | 11.6          | 48%
